DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
  [w1] ( 4, 7) tf=3.88614 dV=0.7234 peris=  5500 vArr=0.156 glob=0.72km PASS (6s)
  [w1] ( 3, 8) tf=4.12446 dV=0.7698 peris=  6762 vArr=0.603 glob=19.55km PASS (192s)
  [w1] ( 9, 8) tf=37.79787 dV=5.2318 peris= -1737 vArr=0.603 glob=Infkm fail (353s)
  [w1] (12,11) tf=20.19820 dV=-1.9300 peris= -1635 vArr=0.503 glob=Infkm fail (263s)
  [w1] (10,11) tf=47.96136 dV=2.0125 peris= -1716 vArr=0.503 glob=Infkm fail (469s)
  [w1] (11,12) tf=4.22379 dV=0.7891 peris=  5348 vArr=0.143 glob=1.99km PASS (11s)
  [w1] (10,11) tf=4.31819 dV=0.8076 peris= 10365 vArr=0.503 glob=10.36km PASS (11s)
  [w1] (12,11) tf=4.62215 dV=0.8673 peris=  5922 vArr=0.503 glob=36.13km PASS (23s)
  [w1] ( 7, 5) tf=4.39045 dV=0.8218 peris=  6190 vArr=0.207 glob=2.82km PASS (13s)
  [w1] ( 8, 6) tf=4.02280 dV=0.7500 peris=  3779 vArr=0.744 glob=15.72km PASS (39s)
  [w1] ( 6, 6) tf=4.52377 dV=0.8480 peris= 10575 vArr=0.744 glob=51.06km PASS (5s)
  [w1] ( 5, 7) tf=16.46172 dV=3.5788 peris=   500 vArr=0.156 glob=975611.31km fail (90s)
  [w1] ( 5, 7) tf=3.95500 dV=0.7368 peris=  4488 vArr=0.156 glob=18.21km PASS (18s)
  [w1] ( 4, 8) tf=7.61170 dV=1.4322 peris=  -297 vArr=0.603 glob=Infkm fail (216s)
  [w1] ( 4, 8) tf=4.08352 dV=0.7618 peris=  6762 vArr=0.603 glob=9.87km PASS (5s)
  [w1] ( 2, 8) tf=4.15134 dV=0.7750 peris=  6762 vArr=0.603 glob=31.86km PASS (7s)
  [w1] (11,11) tf=4.26745 dV=0.7977 peris= 10652 vArr=0.503 glob=10.45km PASS (11s)
  [w1] ( 7, 6) tf=7.76352 dV=1.5079 peris=  1885 vArr=0.744 glob=Infkm fail (602s)
  [w1] ( 7, 6) tf=4.27474 dV=0.7991 peris=  7156 vArr=0.744 glob=7.77km PASS (34s)
  [w1] ( 8, 7) tf=28.20253 dV=7.4701 peris=   881 vArr=0.156 glob=Infkm fail (224s)
  [w1] ( 6, 7) tf=16.68657 dV=3.6393 peris=  8865 vArr=0.156 glob=276986.16km fail (115s)
  [w1] ( 6, 7) tf=3.99293 dV=0.7441 peris=  1597 vArr=0.156 glob=3.13km PASS (13s)
  [w1] ( 5, 8) tf=50.38166 dV=15.6980 peris= -1737 vArr=0.603 glob=Infkm fail (403s)
  [w1] ( 5, 8) tf=3.78990 dV=0.7048 peris=  6817 vArr=0.603 glob=20.43km PASS (21s)
