  ( 2, 3) T=  1.5  tf=0.51849 (2.298 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  1.0  tf=0.62941 (2.790 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T= 15.0  tf=0.14522 (0.644 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 3, 3) T= 12.0  tf=0.16352 (0.725 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T= 10.0  tf=0.17994 (0.798 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  7.0  tf=0.21634 (0.959 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  5.0  tf=0.25655 (1.137 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 3) T=  3.0  tf=0.33069 (1.466 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 3, 3) T=  2.0  tf=0.40364 (1.789 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.5  tf=0.46570 (2.064 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.0  tf=0.57724 (2.559 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 89 verified entries over 26 cells, 4.0 min
THRUST LADDER: 21 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (15 cells resumed/skipped)
  ( 4, 3) T= 15.0  tf=0.12133 (0.538 d)  fly=0.00km  acc=NaN  fail (12s)
  ( 4, 3) T= 12.0  tf=0.13832 (0.613 d)  fly=0.00km  acc=NaN  fail (4s)
  ( 4, 3) T= 10.0  tf=0.15405 (0.683 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 4, 3) T=  7.0  tf=0.19050 (0.844 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 4, 3) T=  5.0  tf=0.23312 (1.033 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 3) T=  3.0  tf=0.31688 (1.405 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 3) T=  2.0  tf=0.40333 (1.788 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 4, 3) T=  1.5  tf=0.47737 (2.116 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 4, 3) T=  1.0  tf=0.60244 (2.670 d)  fly=0.75km  acc=NaN  fail (15s)
  ( 5, 3) T= 15.0  tf=0.14420 (0.639 d)  fly=0.00km  acc=0.0e+00  OK (28s)
  ( 5, 3) T= 12.0  tf=0.16367 (0.726 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T= 10.0  tf=0.18143 (0.804 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  7.0  tf=0.22175 (0.983 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  5.0  tf=0.26778 (1.187 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  3.0  tf=0.35635 (1.580 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  2.0  tf=0.44693 (1.981 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  1.5  tf=0.52464 (2.326 d)  fly=2.09km  acc=NaN  fail (2s)
  ( 5, 3) T=  1.0  tf=0.65676 (2.911 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T= 15.0  tf=0.15879 (0.704 d)  fly=0.00km  acc=0.0e+00  OK (19s)
  ( 6, 3) T= 12.0  tf=0.17998 (0.798 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T= 10.0  tf=0.19920 (0.883 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  7.0  tf=0.24246 (1.075 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  5.0  tf=0.29127 (1.291 d)  fly=2.05km  acc=NaN  fail (2s)
  ( 6, 3) T=  3.0  tf=0.38356 (1.700 d)  fly=1.51km  acc=NaN  fail (2s)
  ( 6, 3) T=  2.0  tf=0.47596 (2.110 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  1.5  tf=0.55381 (2.455 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  1.0  tf=0.68369 (3.031 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T= 15.0  tf=0.16268 (0.721 d)  fly=0.00km  acc=0.0e+00  OK (49s)
  ( 1, 4) T= 12.0  tf=0.18401 (0.816 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 4) T= 10.0  tf=0.20326 (0.901 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 4) T=  7.0  tf=0.24629 (1.092 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T=  5.0  tf=0.29437 (1.305 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T=  3.0  tf=0.38412 (1.703 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T=  2.0  tf=0.47291 (2.096 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T=  1.5  tf=0.54738 (2.426 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T=  1.0  tf=0.67228 (2.980 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T= 15.0  tf=0.15558 (0.690 d)  fly=0.00km  acc=0.0e+00  OK (52s)
  ( 2, 4) T= 12.0  tf=0.17557 (0.778 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 4) T= 10.0  tf=0.19356 (0.858 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 4) T=  7.0  tf=0.23356 (1.035 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  5.0  tf=0.27794 (1.232 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  3.0  tf=0.36011 (1.596 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  2.0  tf=0.44077 (1.954 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  1.5  tf=0.50826 (2.253 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  1.0  tf=0.62194 (2.757 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 126 verified entries over 21 cells, 4.5 min
THRUST LADDER: 16 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (20 cells resumed/skipped)
  ( 3, 4) T= 15.0  tf=0.13725 (0.608 d)  fly=0.00km  acc=0.0e+00  OK (18s)
  ( 3, 4) T= 12.0  tf=0.15430 (0.684 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 4) T= 10.0  tf=0.16959 (0.752 d)  fly=0.00km  acc=0.0e+00  OK (2s)
