  ( 3, 3) T=  3.0  tf=0.34716 (1.539 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  2.0  tf=0.43784 (1.941 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.5  tf=0.51953 (2.303 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.0  tf=0.67527 (2.993 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T= 15.0  direct fail (defect 1.2e-03) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 117 verified entries over 22 cells, 5.4 min
THRUST LADDER: 21 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (15 cells resumed/skipped)
  ( 4, 3) T= 15.0  direct fail (defect 1.2e-03) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 117 verified entries over 21 cells, 5.0 min
THRUST LADDER: 20 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (16 cells resumed/skipped)
  ( 5, 3) T= 15.0  tf=0.11459 (0.508 d)  fly=0.00km  acc=0.0e+00  OK (47s)
  ( 5, 3) T= 12.0  tf=0.12974 (0.575 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T= 10.0  tf=0.14356 (0.636 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  7.0  tf=0.17498 (0.776 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  5.0  tf=0.21095 (0.935 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  3.0  tf=0.28055 (1.244 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  2.0  tf=0.35236 (1.562 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  1.5  tf=0.41454 (1.837 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  1.0  tf=0.52145 (2.311 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T= 15.0  tf=0.11703 (0.519 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 6, 3) T= 12.0  tf=0.13231 (0.586 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T= 10.0  tf=0.14620 (0.648 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  7.0  tf=0.17764 (0.787 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  5.0  tf=0.21341 (0.946 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  3.0  tf=0.28206 (1.250 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  2.0  tf=0.35229 (1.562 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  1.5  tf=0.41274 (1.830 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  1.0  tf=0.51622 (2.288 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T= 15.0  tf=0.14104 (0.625 d)  fly=0.01km  acc=NaN  fail (14s)
  ( 1, 4) T= 12.0  tf=0.15863 (0.703 d)  fly=0.01km  acc=NaN  fail (3s)
  ( 1, 4) T= 10.0  tf=0.17442 (0.773 d)  fly=0.01km  acc=NaN  fail (4s)
  ( 1, 4) T=  7.0  tf=0.20951 (0.929 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 1, 4) T=  5.0  tf=0.24849 (1.101 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 1, 4) T=  3.0  tf=0.32094 (1.423 d)  fly=0.00km  acc=0.0e+00  OK (3s)
