THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 6, 3) T= 10.0  tf=0.11527 (0.511 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  7.0  tf=0.14234 (0.631 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  5.0  tf=0.17506 (0.776 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  3.0  tf=0.24805 (1.100 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  2.0  tf=0.34807 (1.543 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 3) T=  1.5  tf=0.28668 (1.271 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 3) T=  1.0  rejected pre-flight (minAlt 725 km, tf 2.8117) -- ladder stops
  ( 1, 4) T= 15.0  tf=0.10305 (0.457 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  ( 1, 4) T= 12.0  tf=0.11114 (0.493 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 4) T= 10.0  tf=0.12159 (0.539 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T=  7.0  tf=0.14437 (0.640 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T=  5.0  tf=0.16887 (0.749 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 4) T=  3.0  tf=0.21231 (0.941 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 1, 4) T=  2.0  tf=0.25332 (1.123 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 1, 4) T=  1.5  tf=0.28742 (1.274 d)  fly=0.00km  acc=0.0e+00  OK (2s)
THRUST LADDER: 17 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (19 cells resumed/skipped)
  ( 2, 4) T= 15.0  tf=0.09071 (0.402 d)  fly=0.00km  acc=0.0e+00  OK (19s)
  ( 2, 4) T= 12.0  tf=0.10094 (0.447 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T= 10.0  tf=0.10996 (0.487 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 4) T=  7.0  tf=0.12936 (0.573 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  5.0  tf=0.14985 (0.664 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  3.0  tf=0.18509 (0.820 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  2.0  tf=0.21692 (0.962 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  1.5  direct fail (defect 3.1e-07) -- ladder stops
  ( 3, 4) T= 15.0  tf=0.33048 flown 793327.7 km > gate -- ladder stops
THRUST LADDER: 16 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (20 cells resumed/skipped)
