  ( 1, 5) T=  7.0  tf=0.13874 (0.615 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  5.0  tf=0.16137 (0.715 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  3.0  tf=0.20093 (0.891 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  2.0  tf=0.23739 (1.052 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  1.5  tf=0.26677 (1.183 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  ( 1, 5) T=  1.0  direct fail (defect 1.5e-08) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 178 verified entries over 15 cells, 5.6 min
THRUST LADDER: 12 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (24 cells resumed/skipped)
  ( 4, 4) T= 15.0  tf=0.12964 (0.575 d)  fly=0.02km  acc=NaN  fail (45s)
  ( 4, 4) T= 12.0  tf=0.42052 flown 373164.7 km > gate -- ladder stops
  ( 2, 5) T= 15.0  tf=0.13609 (0.603 d)  fly=0.02km  acc=NaN  fail (289s)
  ( 2, 5) T= 12.0  tf=0.10020 (0.444 d)  fly=0.41km  acc=NaN  fail (4s)
  ( 2, 5) T= 10.0  tf=0.10968 (0.486 d)  fly=0.44km  acc=NaN  fail (2s)
  ( 2, 5) T=  7.0  tf=0.13060 (0.579 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  5.0  tf=0.15364 (0.681 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  3.0  tf=0.19622 (0.870 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 5) T=  2.0  tf=0.23900 (1.059 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  1.5  tf=0.27725 (1.229 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 10 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (26 cells resumed/skipped)
  ( 3, 5) T= 15.0  tf=0.13556 (0.601 d)  fly=0.02km  acc=NaN  fail (136s)
  ( 3, 5) T= 12.0  tf=0.41010 flown 724036.0 km > gate -- ladder stops
  ( 4, 5) T= 15.0  tf=0.12265 (0.544 d)  fly=0.02km  acc=NaN  fail (76s)
  ( 4, 5) T= 12.0  tf=0.10960 (0.486 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 5) T= 10.0  tf=0.12190 (0.540 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  7.0  tf=0.15047 (0.667 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  5.0  tf=0.18449 (0.818 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  3.0  tf=0.25674 (1.138 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  2.0  rejected pre-flight (minAlt 22934 km, tf 1.1925) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
