  ( 2, 3) T=  1.0  tf=0.48807 (2.163 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 3) T= 15.0  tf=0.10147 (0.450 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 3, 3) T= 12.0  tf=0.11454 (0.508 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T= 10.0  tf=0.12642 (0.560 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T=  7.0  tf=0.15328 (0.679 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T=  5.0  tf=0.18385 (0.815 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  3.0  tf=0.24287 (1.077 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  2.0  tf=0.30462 (1.350 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.5  tf=0.35991 (1.595 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T=  1.0  tf=0.46204 (2.048 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T= 15.0  tf=0.08319 (0.369 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 4, 3) T= 12.0  tf=0.09430 (0.418 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T= 10.0  tf=0.10451 (0.463 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  7.0  tf=0.12804 (0.568 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  5.0  tf=0.15547 (0.689 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  3.0  tf=0.21003 (0.931 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  2.0  tf=0.26853 (1.190 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  1.5  tf=0.32151 (1.425 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 3) T=  1.0  rejected pre-flight (minAlt 19810 km, tf 1.8891) -- ladder stops
  ( 5, 3) T= 15.0  tf=0.07511 (0.333 d)  fly=0.00km  acc=0.0e+00  OK (22s)
  ( 5, 3) T= 12.0  tf=0.08563 (0.380 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T= 10.0  tf=0.09540 (0.423 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  7.0  tf=0.11822 (0.524 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  5.0  tf=0.14534 (0.644 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  3.0  tf=0.20072 (0.890 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  2.0  tf=0.26220 (1.162 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  1.5  tf=0.32015 (1.419 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  1.0  tf=0.43599 (1.933 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 6 cells]
THRUST LADDER DONE: 145 verified entries over 25 cells, 3.9 min
THRUST LADDER: 19 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (17 cells resumed/skipped)
  ( 6, 3) T= 15.0  tf=0.09323 (0.413 d)  fly=0.00km  acc=0.0e+00  OK (21s)
  ( 6, 3) T= 12.0  tf=0.10583 (0.469 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T= 10.0  tf=0.11741 (0.520 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  7.0  tf=0.14404 (0.638 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  5.0  tf=0.17508 (0.776 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  3.0  tf=0.23730 (1.052 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  2.0  tf=0.30622 (1.357 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  1.5  rejected pre-flight (minAlt 6959 km, tf 6.7208) -- ladder stops
  ( 1, 4) T= 15.0  tf=0.34908 flown 380624.5 km > gate -- ladder stops
  ( 2, 4) T= 15.0  tf=0.09279 (0.411 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 2, 4) T= 12.0  tf=0.10471 (0.464 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 2, 4) T= 10.0  tf=0.11557 (0.512 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 2, 4) T=  7.0  tf=0.14024 (0.622 d)  fly=0.00km  acc=NaN  fail (5s)
  ( 2, 4) T=  5.0  tf=0.16868 (0.748 d)  fly=0.00km  acc=NaN  fail (5s)
  ( 2, 4) T=  3.0  tf=0.22540 (0.999 d)  fly=0.00km  acc=NaN  fail (4s)
  ( 2, 4) T=  2.0  tf=0.28873 (1.280 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 2, 4) T=  1.5  rejected pre-flight (minAlt 500 km, tf 3.9686) -- ladder stops
  ( 3, 4) T= 15.0  tf=0.10721 (0.475 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 3, 4) T= 12.0  tf=0.12265 (0.544 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 4) T= 10.0  tf=0.13653 (0.605 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 4) T=  7.0  tf=0.16729 (0.742 d)  fly=0.00km  acc=0.0e+00  OK (12s)
