THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.14264 (0.632 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 4, 5) T= 12.0  tf=0.15573 (0.690 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 5) T= 10.0  tf=0.17170 (0.761 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 5) T=  7.0  tf=0.20743 (0.919 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 5) T=  5.0  tf=0.24747 (1.097 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  3.0  tf=0.32304 (1.432 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  2.0  tf=0.39992 (1.773 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  1.5  tf=0.46750 (2.072 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  1.0  tf=0.59294 (2.628 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 191 verified entries over 12 cells, 3.8 min
THRUST LADDER: 8 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (28 cells resumed/skipped)
  ( 5, 5) T= 15.0  tf=0.15334 (0.680 d)  fly=1.37km  acc=NaN  fail (23s)
  ( 5, 5) T= 12.0  tf=0.17358 (0.769 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 5) T= 10.0  tf=0.19193 (0.851 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 5) T=  7.0  tf=0.23324 (1.034 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  5.0  tf=0.27999 (1.241 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 5) T=  3.0  tf=0.36999 (1.640 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  2.0  tf=0.46514 (2.062 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  1.5  tf=0.55331 (2.453 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  1.0  tf=0.73137 (3.242 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T= 15.0  tf=0.14782 (0.655 d)  fly=0.99km  acc=NaN  fail (43s)
  ( 6, 5) T= 12.0  tf=0.16708 (0.741 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 5) T= 10.0  tf=0.18452 (0.818 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T=  7.0  tf=0.22370 (0.992 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T=  5.0  tf=0.26796 (1.188 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T=  3.0  tf=0.35302 (1.565 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T=  2.0  tf=0.44296 (1.963 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T=  1.5  tf=0.52617 (2.332 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T=  1.0  rejected pre-flight (minAlt 500 km, tf 4.2545) -- ladder stops
  ( 1, 6) T= 15.0  tf=0.33022 flown 634121.0 km > gate -- ladder stops
  ( 2, 6) T= 15.0  tf=0.13689 (0.607 d)  fly=0.00km  acc=0.0e+00  OK (94s)
  ( 2, 6) T= 12.0  tf=0.15393 (0.682 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 6) T= 10.0  tf=0.16931 (0.750 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 6) T=  7.0  tf=0.20385 (0.904 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 6) T=  5.0  tf=0.24303 (1.077 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 6) T=  3.0  tf=0.31890 (1.414 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 6) T=  2.0  tf=0.39836 (1.766 d)  fly=0.00km  acc=NaN  fail (31s)
  ( 2, 6) T=  1.5  tf=0.46817 (2.075 d)  fly=0.00km  acc=NaN  fail (3s)
THRUST LADDER: 5 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (31 cells resumed/skipped)
  ( 1, 6) T= 15.0  tf=0.33022 flown 634121.0 km > gate -- ladder stops
  ( 3, 6) T= 15.0  tf=0.14376 (0.637 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  ( 3, 6) T= 12.0  tf=0.16293 (0.722 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 6) T= 10.0  tf=0.18024 (0.799 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 3, 6) T=  7.0  tf=0.21832 (0.968 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 3, 6) T=  5.0  tf=0.25856 (1.146 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 3, 6) T=  3.0  tf=0.33218 (1.472 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 3, 6) T=  2.0  tf=1.20530 flown 372471.1 km > gate -- ladder stops
  ( 4, 6) T= 15.0  tf=0.14921 (0.661 d)  fly=0.00km  acc=5.7e-12  OK (13s)
  ( 4, 6) T= 12.0  tf=0.17303 (0.767 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 6) T= 10.0  tf=0.19512 (0.865 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 6) T=  7.0  tf=0.19613 (0.869 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 4, 6) T=  5.0  tf=0.23474 (1.041 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 4, 6) T=  3.0  tf=0.30856 (1.368 d)  fly=0.00km  acc=0.0e+00  OK (67s)
  ( 4, 6) T=  2.0  tf=0.38477 (1.706 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 6) T=  1.5  tf=0.45198 (2.003 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 6) T=  1.0  rejected pre-flight (minAlt 6986 km, tf 8.1340) -- ladder stops
THRUST LADDER: 2 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (34 cells resumed/skipped)
  ( 5, 6) T= 15.0  tf=0.15328 (0.679 d)  fly=0.32km  acc=NaN  fail (191s)
  ( 5, 6) T= 12.0  tf=0.17602 (0.780 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 5, 6) T= 10.0  tf=0.19783 (0.877 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 6) T=  7.0  tf=0.24800 (1.099 d)  fly=0.02km  acc=NaN  fail (3s)
  ( 5, 6) T=  5.0  tf=0.30511 (1.352 d)  fly=0.04km  acc=NaN  fail (3s)
  ( 5, 6) T=  3.0  tf=0.41197 (1.826 d)  fly=0.09km  acc=NaN  fail (3s)
  ( 5, 6) T=  2.0  tf=0.51734 (2.293 d)  fly=0.09km  acc=NaN  fail (16s)
  ( 5, 6) T=  1.5  tf=0.60584 (2.685 d)  fly=2.79km  acc=NaN  fail (3s)
  ( 5, 6) T=  1.0  tf=0.75462 (3.345 d)  fly=5.32km  acc=NaN  fail (21s)
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 224 verified entries over 2 cells, 4.1 min
THRUST LADDER: 1 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (35 cells resumed/skipped)
  ( 6, 6) T= 15.0  tf=0.15528 (0.688 d)  fly=0.54km  acc=NaN  fail (163s)
  ( 6, 6) T= 12.0  rejected pre-flight (minAlt 6986 km, tf 4.6436) -- ladder stops
THRUST LADDER DONE: 224 verified entries over 1 cells, 2.8 min
THRUST LADDER: 1 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (35 cells resumed/skipped)
  ( 6, 6) T= 15.0  tf=0.15528 (0.688 d)  fly=0.54km  acc=NaN  fail (161s)
  ( 6, 6) T= 12.0  rejected pre-flight (minAlt 6986 km, tf 4.6436) -- ladder stops
THRUST LADDER DONE: 224 verified entries over 1 cells, 2.8 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
THRUST LADDER: 0 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (36 cells resumed/skipped)
THRUST LADDER DONE: 224 verified entries over 0 cells, 0.0 min
